Yoda, OVqZYDr5XWz7dDjm2pQP
Obiwan, KomQ50Hy9M7QON
Ashoka, SbMPg81Xzov02X8IYVepp
Vader, GNcfHuy4welKPKD1Y0W48Sd7ZD
Palpatine, WXREDeBTZ1UyUKaxJ
Qui Gon Jinn, NMjy6lcrtpQ0Ed8H1NMHM9txE03L5F
Padme Amidala, hvxSVBMiZjTybBpkTdBK4DKbe425Y
C3P0, pkXcnl9mfX0Ky
Han Solo, GZ0wNGfT8q6
Leia Organa, NMbVl03VutxUN9dANf
Chewbacca, RPk0D5MvRlCuR
Lando Calrissian, bM2An3pxWaXSH3o1Dc4
Ezra Bridger, jtAKoTrT12WTkRRTl
Hera Syndulla, GGDJpnpT3jmsJklhZPGR7
Kanan Jarrus, wwb7ledHbks
Sabine Wren, D6NVOGj1X6P
Rex, faC5TkxyjLYDA2lbEwDPNnP
Zeb Orrelios, YB1G9cRxBMAjd
Luke Skywalker, 3Fh0fCA1sjkMfKXU207DIBQbk4fn
Count Dooku, pw3Cn773JegbJlg
